data_file,solution,stats,TOTAL_TIME,solver,model
ins-19,"{'width': 26, 'n_circuits': 22, 'widths': [3, 4, 3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 3, 4, 3, 3, 4, 3], 'heights': [19, 14, 17, 16, 15, 11, 14, 12, 11, 8, 10, 7, 9, 8, 7, 5, 6, 4, 5, 4, 3, 3], 'x': [0, 3, 7, 10, 13, 13, 20, 16, 17, 3, 10, 19, 7, 23, 0, 19, 23, 3, 23, 23, 16, 23], 'y': [0, 0, 0, 0, 0, 15, 12, 0, 15, 14, 16, 0, 17, 0, 19, 7, 8, 22, 14, 19, 12, 23], 'min_makespan': 26, 'max_makespan': 37, 'makespan': 26}","{'paths': 0, 'flatBoolVars': 1719, 'flatIntVars': 87, 'flatBoolConstraints': 583, 'flatIntConstraints': 1590, 'evaluatedReifiedConstraints': 1542, 'eliminatedImplications': 84, 'flatTime': 0.11660899999999999, 'nodes': 355547, 'failures': 340152, 'restarts': 511, 'variables': 7890, 'intVars': 147, 'boolVariables': 7741, 'propagators': 3554, 'propagations': 229278283, 'peakDepth': 46, 'nogoods': 340152, 'backjumps': 9551, 'peakMem': 0.0, 'time': 27.138, 'initTime': 0.019, 'solveTime': 27.119, 'objective': 26, 'optTime': 27.106, 'baseMem': 0.0, 'trailMem': 0.04, 'randomSeed': 666, 'nSolutions': 1}",27.29,Chuffed,search.symmetry
ins-2,"{'width': 9, 'n_circuits': 5, 'widths': [3, 3, 3, 3, 3], 'heights': [9, 6, 5, 4, 3], 'x': [0, 3, 6, 6, 3], 'y': [0, 0, 0, 5, 6], 'min_makespan': 9, 'max_makespan': 9, 'makespan': 9}","{'paths': 0, 'flatBoolVars': 117, 'flatIntVars': 17, 'flatBoolConstraints': 48, 'flatIntConstraints': 108, 'evaluatedReifiedConstraints': 97, 'eliminatedImplications': 16, 'flatTime': 0.048215799999999996, 'nodes': 8, 'failures': 0, 'restarts': 1, 'variables': 481, 'intVars': 41, 'boolVariables': 438, 'propagators': 192, 'propagations': 455, 'peakDepth': 7, 'nogoods': 0, 'backjumps': 0, 'peakMem': 0.0, 'time': 0.001, 'initTime': 0.001, 'solveTime': 0.0, 'objective': 9, 'optTime': 0.0, 'baseMem': 0.0, 'trailMem': 0.0, 'randomSeed': 666, 'nSolutions': 1}",0.06,Chuffed,search.symmetry
ins-20,"{'width': 27, 'n_circuits': 21, 'widths': [4, 4, 3, 3, 3, 4, 3, 3, 4, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3], 'heights': [20, 19, 21, 20, 19, 14, 12, 11, 8, 10, 7, 9, 8, 6, 7, 6, 4, 5, 4, 3, 3], 'x': [0, 4, 8, 11, 14, 17, 21, 21, 4, 24, 0, 24, 14, 17, 11, 8, 17, 24, 21, 17, 24], 'y': [0, 0, 0, 0, 0, 0, 0, 12, 19, 0, 20, 10, 19, 14, 20, 21, 20, 19, 23, 24, 24], 'min_makespan': 27, 'max_makespan': 33, 'makespan': 27}","{'paths': 0, 'flatBoolVars': 1529, 'flatIntVars': 83, 'flatBoolConstraints': 518, 'flatIntConstraints': 1420, 'evaluatedReifiedConstraints': 1374, 'eliminatedImplications': 80, 'flatTime': 0.10900599999999999, 'nodes': 10893, 'failures': 10263, 'restarts': 31, 'variables': 6943, 'intVars': 140, 'boolVariables': 6801, 'propagators': 3155, 'propagations': 6859559, 'peakDepth': 43, 'nogoods': 10263, 'backjumps': 251, 'peakMem': 0.0, 'time': 0.6880000000000001, 'initTime': 0.016, 'solveTime': 0.672, 'objective': 27, 'optTime': 0.672, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.8300000000000001,Chuffed,search.symmetry
ins-21,"{'width': 28, 'n_circuits': 22, 'widths': [4, 3, 5, 3, 4, 3, 3, 5, 3, 4, 3, 5, 3, 3, 3, 4, 3, 4, 3, 3, 4, 3], 'heights': [23, 23, 13, 21, 13, 17, 16, 9, 11, 8, 10, 6, 9, 8, 7, 5, 6, 4, 5, 4, 3, 3], 'x': [0, 4, 7, 12, 15, 19, 22, 7, 15, 18, 25, 7, 22, 25, 12, 0, 25, 15, 4, 25, 18, 22], 'y': [0, 0, 0, 0, 0, 0, 0, 13, 17, 17, 0, 22, 16, 10, 21, 23, 18, 13, 23, 24, 25, 25], 'min_makespan': 28, 'max_makespan': 39, 'makespan': 28}","{'paths': 0, 'flatBoolVars': 1574, 'flatIntVars': 87, 'flatBoolConstraints': 525, 'flatIntConstraints': 1474, 'evaluatedReifiedConstraints': 1426, 'eliminatedImplications': 84, 'flatTime': 0.112776, 'nodes': 31668, 'failures': 29080, 'restarts': 65, 'variables': 8075, 'intVars': 146, 'boolVariables': 7927, 'propagators': 3235, 'propagations': 15300836, 'peakDepth': 45, 'nogoods': 29080, 'backjumps': 1923, 'peakMem': 0.0, 'time': 1.425, 'initTime': 0.018000000000000002, 'solveTime': 1.407, 'objective': 28, 'optTime': 1.407, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",1.57,Chuffed,search.symmetry
ins-22,"{'width': 29, 'n_circuits': 24, 'widths': [5, 4, 4, 3, 4, 3, 3, 5, 4, 3, 3, 4, 3, 3, 4, 3, 4, 5, 3, 4, 3, 3, 4, 3], 'heights': [17, 20, 18, 20, 15, 18, 15, 8, 9, 11, 10, 7, 9, 8, 6, 7, 5, 4, 6, 4, 5, 4, 3, 3], 'x': [0, 5, 9, 13, 16, 20, 23, 0, 5, 16, 23, 9, 13, 26, 19, 26, 19, 0, 26, 9, 26, 23, 16, 26], 'y': [0, 0, 0, 0, 0, 0, 0, 17, 20, 18, 15, 18, 20, 0, 18, 8, 24, 25, 15, 25, 21, 25, 15, 26], 'min_makespan': 29, 'max_makespan': 41, 'makespan': 29}","{'paths': 0, 'flatBoolVars': 1831, 'flatIntVars': 95, 'flatBoolConstraints': 604, 'flatIntConstraints': 1718, 'evaluatedReifiedConstraints': 1666, 'eliminatedImplications': 92, 'flatTime': 0.12380899999999999, 'nodes': 21194, 'failures': 19873, 'restarts': 60, 'variables': 9277, 'intVars': 157, 'boolVariables': 9118, 'propagators': 3760, 'propagations': 11095940, 'peakDepth': 46, 'nogoods': 19873, 'backjumps': 461, 'peakMem': 0.0, 'time': 1.311, 'initTime': 0.021, 'solveTime': 1.29, 'objective': 29, 'optTime': 1.29, 'baseMem': 0.0, 'trailMem': 0.04, 'randomSeed': 666, 'nSolutions': 1}",1.47,Chuffed,search.symmetry
ins-23,"{'width': 30, 'n_circuits': 20, 'widths': [11, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3], 'heights': [30, 25, 19, 16, 14, 13, 9, 11, 8, 10, 9, 8, 6, 7, 6, 4, 5, 4, 3, 3], 'x': [0, 11, 14, 17, 17, 20, 20, 14, 20, 23, 24, 24, 26, 27, 27, 26, 11, 27, 23, 27], 'y': [0, 0, 0, 0, 16, 0, 13, 19, 22, 0, 13, 22, 0, 10, 17, 6, 25, 23, 10, 27], 'min_makespan': 30, 'max_makespan': 36, 'makespan': 30}","{'paths': 0, 'flatBoolVars': 1408, 'flatIntVars': 79, 'flatBoolConstraints': 480, 'flatIntConstraints': 1306, 'evaluatedReifiedConstraints': 1262, 'eliminatedImplications': 76, 'flatTime': 0.10396699999999999, 'nodes': 38, 'failures': 0, 'restarts': 1, 'variables': 7016, 'intVars': 135, 'boolVariables': 6879, 'propagators': 2907, 'propagations': 12152, 'peakDepth': 37, 'nogoods': 0, 'backjumps': 0, 'peakMem': 0.0, 'time': 0.016, 'initTime': 0.016, 'solveTime': 0.0, 'objective': 30, 'optTime': 0.0, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.15,Chuffed,search.symmetry
ins-24,"{'width': 31, 'n_circuits': 19, 'widths': [12, 3, 3, 4, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 3, 4, 3], 'heights': [31, 31, 22, 13, 14, 13, 12, 11, 8, 10, 7, 9, 8, 7, 6, 5, 4, 3, 3], 'x': [0, 12, 15, 18, 18, 21, 28, 24, 27, 22, 24, 15, 28, 25, 25, 21, 18, 27, 22], 'y': [0, 0, 0, 0, 13, 13, 0, 20, 20, 0, 13, 22, 12, 0, 7, 26, 27, 28, 10], 'min_makespan': 31, 'max_makespan': 38, 'makespan': 31}","{'paths': 0, 'flatBoolVars': 1306, 'flatIntVars': 75, 'flatBoolConstraints': 449, 'flatIntConstraints': 1208, 'evaluatedReifiedConstraints': 1166, 'eliminatedImplications': 72, 'flatTime': 0.09939959999999999, 'nodes': 2384, 'failures': 2209, 'restarts': 10, 'variables': 6875, 'intVars': 128, 'boolVariables': 6745, 'propagators': 2700, 'propagations': 1367517, 'peakDepth': 27, 'nogoods': 2209, 'backjumps': 62, 'peakMem': 0.0, 'time': 0.128, 'initTime': 0.015, 'solveTime': 0.113, 'objective': 31, 'optTime': 0.113, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.25,Chuffed,search.symmetry
ins-25,"{'width': 32, 'n_circuits': 27, 'widths': [3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3], 'heights': [27, 25, 24, 18, 23, 22, 18, 15, 11, 14, 10, 13, 12, 11, 10, 7, 9, 8, 6, 7, 5, 6, 4, 5, 4, 3, 3], 'x': [0, 3, 6, 9, 13, 16, 19, 22, 9, 19, 22, 26, 25, 29, 16, 22, 13, 6, 28, 3, 28, 29, 28, 0, 26, 9, 25], 'y': [0, 0, 0, 0, 0, 0, 0, 0, 18, 18, 15, 15, 0, 15, 22, 25, 23, 24, 0, 25, 6, 26, 11, 27, 28, 29, 12], 'min_makespan': 32, 'max_makespan': 42, 'makespan': 32}","{'paths': 0, 'flatBoolVars': 2599, 'flatIntVars': 107, 'flatBoolConstraints': 871, 'flatIntConstraints': 2396, 'evaluatedReifiedConstraints': 2338, 'eliminatedImplications': 104, 'flatTime': 0.16397399999999998, 'nodes': 3968, 'failures': 3594, 'restarts': 14, 'variables': 11380, 'intVars': 181, 'boolVariables': 11197, 'propagators': 5383, 'propagations': 3517185, 'peakDepth': 57, 'nogoods': 3594, 'backjumps': 103, 'peakMem': 0.0, 'time': 0.336, 'initTime': 0.034, 'solveTime': 0.302, 'objective': 32, 'optTime': 0.302, 'baseMem': 0.0, 'trailMem': 0.04, 'randomSeed': 666, 'nSolutions': 1}",0.54,Chuffed,search.symmetry
ins-26,"{'width': 33, 'n_circuits': 23, 'widths': [7, 3, 3, 3, 4, 4, 3, 4, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3], 'heights': [33, 33, 30, 24, 17, 14, 17, 12, 15, 14, 10, 13, 10, 9, 8, 6, 7, 6, 4, 5, 4, 3, 3], 'x': [0, 7, 10, 13, 16, 20, 24, 16, 27, 27, 20, 30, 24, 13, 30, 20, 30, 24, 16, 30, 27, 20, 10], 'y': [0, 0, 0, 0, 0, 0, 0, 17, 0, 15, 14, 0, 17, 24, 13, 24, 21, 27, 29, 28, 29, 30, 30], 'min_makespan': 33, 'max_makespan': 43, 'makespan': 33}","{'paths': 0, 'flatBoolVars': 1813, 'flatIntVars': 91, 'flatBoolConstraints': 609, 'flatIntConstraints': 1684, 'evaluatedReifiedConstraints': 1634, 'eliminatedImplications': 88, 'flatTime': 0.122848, 'nodes': 657217, 'failures': 625199, 'restarts': 1020, 'variables': 9398, 'intVars': 154, 'boolVariables': 9242, 'propagators': 3741, 'propagations': 380976811, 'peakDepth': 41, 'nogoods': 625199, 'backjumps': 19856, 'peakMem': 0.0, 'time': 45.502, 'initTime': 0.021, 'solveTime': 45.481, 'objective': 33, 'optTime': 45.481, 'baseMem': 0.0, 'trailMem': 0.04, 'randomSeed': 666, 'nSolutions': 1}",45.66,Chuffed,search.symmetry
ins-27,"{'width': 34, 'n_circuits': 21, 'widths': [12, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3], 'heights': [34, 34, 25, 22, 21, 14, 11, 14, 13, 12, 11, 10, 9, 8, 7, 5, 6, 4, 5, 4, 3], 'x': [0, 12, 15, 18, 21, 24, 24, 28, 21, 18, 28, 31, 15, 31, 31, 24, 28, 24, 31, 31, 28], 'y': [0, 0, 0, 0, 0, 0, 14, 0, 21, 22, 14, 0, 25, 10, 18, 25, 25, 30, 25, 30, 31], 'min_makespan': 34, 'max_makespan': 41, 'makespan': 34}","{'paths': 0, 'flatBoolVars': 1619, 'flatIntVars': 83, 'flatBoolConstraints': 554, 'flatIntConstraints': 1492, 'evaluatedReifiedConstraints': 1446, 'eliminatedImplications': 80, 'flatTime': 0.111719, 'nodes': 31628, 'failures': 30173, 'restarts': 70, 'variables': 8305, 'intVars': 142, 'boolVariables': 8161, 'propagators': 3353, 'propagations': 20116427, 'peakDepth': 38, 'nogoods': 30173, 'backjumps': 645, 'peakMem': 0.0, 'time': 1.966, 'initTime': 0.018000000000000002, 'solveTime': 1.948, 'objective': 34, 'optTime': 1.948, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",2.11,Chuffed,search.symmetry
ins-28,"{'width': 35, 'n_circuits': 22, 'widths': [14, 4, 4, 4, 3, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3], 'heights': [35, 23, 20, 17, 22, 19, 12, 12, 8, 10, 7, 9, 8, 6, 7, 5, 6, 4, 5, 4, 3, 3], 'x': [0, 14, 18, 22, 26, 29, 14, 29, 18, 22, 18, 32, 32, 25, 32, 22, 32, 25, 32, 29, 22, 26], 'y': [0, 0, 0, 0, 0, 0, 23, 19, 20, 22, 28, 0, 9, 22, 17, 17, 24, 28, 30, 31, 32, 32], 'min_makespan': 35, 'max_makespan': 42, 'makespan': 35}","{'paths': 0, 'flatBoolVars': 1589, 'flatIntVars': 87, 'flatBoolConstraints': 531, 'flatIntConstraints': 1486, 'evaluatedReifiedConstraints': 1438, 'eliminatedImplications': 84, 'flatTime': 0.114495, 'nodes': 41681, 'failures': 39606, 'restarts': 94, 'variables': 8766, 'intVars': 148, 'boolVariables': 8616, 'propagators': 3268, 'propagations': 18653499, 'peakDepth': 37, 'nogoods': 39606, 'backjumps': 927, 'peakMem': 0.0, 'time': 2.444, 'initTime': 0.019, 'solveTime': 2.425, 'objective': 35, 'optTime': 2.421, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",2.59,Chuffed,search.symmetry
