data_file,solution,stats,TOTAL_TIME,solver,model
ins-19,"{'width': 26, 'n_circuits': 22, 'widths': [3, 4, 3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 3, 4, 3, 3, 4, 3], 'heights': [19, 14, 17, 16, 15, 11, 14, 12, 11, 8, 10, 7, 9, 8, 7, 5, 6, 4, 5, 4, 3, 3], 'x': [0, 3, 7, 10, 13, 13, 20, 16, 17, 3, 10, 19, 7, 23, 0, 19, 23, 3, 23, 23, 16, 23], 'y': [0, 0, 0, 0, 0, 15, 12, 0, 15, 14, 16, 0, 17, 0, 19, 7, 8, 22, 14, 19, 12, 23], 'min_makespan': 26, 'max_makespan': 37, 'makespan': 26}","{'paths': 0, 'flatBoolVars': 924, 'flatIntVars': 87, 'flatBoolConstraints': 231, 'flatIntConstraints': 971, 'evaluatedReifiedConstraints': 924, 'flatTime': 0.0670056, 'nodes': 353391, 'failures': 338024, 'restarts': 511, 'variables': 7117, 'intVars': 147, 'boolVariables': 6968, 'propagators': 1918, 'propagations': 126317555, 'peakDepth': 28, 'nogoods': 338024, 'backjumps': 9571, 'peakMem': 0.0, 'time': 20.815, 'initTime': 0.013000000000000001, 'solveTime': 20.802, 'objective': 26, 'optTime': 20.79, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",20.91,Chuffed,search
ins-2,"{'width': 9, 'n_circuits': 5, 'widths': [3, 3, 3, 3, 3], 'heights': [9, 6, 5, 4, 3], 'x': [0, 3, 6, 6, 3], 'y': [0, 0, 0, 5, 6], 'min_makespan': 9, 'max_makespan': 9, 'makespan': 9}","{'paths': 0, 'flatBoolVars': 40, 'flatIntVars': 19, 'flatBoolConstraints': 10, 'flatIntConstraints': 53, 'evaluatedReifiedConstraints': 40, 'flatTime': 0.043796999999999996, 'nodes': 5, 'failures': 0, 'restarts': 1, 'variables': 408, 'intVars': 35, 'boolVariables': 371, 'propagators': 99, 'propagations': 240, 'peakDepth': 4, 'nogoods': 0, 'backjumps': 0, 'peakMem': 0.0, 'time': 0.001, 'initTime': 0.001, 'solveTime': 0.0, 'objective': 9, 'optTime': 0.0, 'baseMem': 0.0, 'trailMem': 0.0, 'randomSeed': 666, 'nSolutions': 1}",0.05,Chuffed,search
ins-20,"{'width': 27, 'n_circuits': 21, 'widths': [4, 4, 3, 3, 3, 4, 3, 3, 4, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3], 'heights': [20, 19, 21, 20, 19, 14, 12, 11, 8, 10, 7, 9, 8, 6, 7, 6, 4, 5, 4, 3, 3], 'x': [0, 4, 8, 11, 14, 17, 21, 21, 4, 24, 0, 24, 14, 17, 11, 8, 17, 24, 21, 17, 24], 'y': [0, 0, 0, 0, 0, 0, 0, 12, 19, 0, 20, 10, 19, 14, 20, 21, 20, 19, 23, 24, 24], 'min_makespan': 27, 'max_makespan': 33, 'makespan': 27}","{'paths': 0, 'flatBoolVars': 840, 'flatIntVars': 83, 'flatBoolConstraints': 210, 'flatIntConstraints': 885, 'evaluatedReifiedConstraints': 840, 'flatTime': 0.0649882, 'nodes': 11086, 'failures': 10460, 'restarts': 31, 'variables': 6276, 'intVars': 140, 'boolVariables': 6134, 'propagators': 1747, 'propagations': 4151720, 'peakDepth': 28, 'nogoods': 10460, 'backjumps': 262, 'peakMem': 0.0, 'time': 0.533, 'initTime': 0.011, 'solveTime': 0.522, 'objective': 27, 'optTime': 0.522, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.62,Chuffed,search
ins-21,"{'width': 28, 'n_circuits': 22, 'widths': [4, 3, 5, 3, 4, 3, 3, 5, 3, 4, 3, 5, 3, 3, 3, 4, 3, 4, 3, 3, 4, 3], 'heights': [23, 23, 13, 21, 13, 17, 16, 9, 11, 8, 10, 6, 9, 8, 7, 5, 6, 4, 5, 4, 3, 3], 'x': [0, 4, 7, 12, 15, 19, 22, 7, 15, 18, 25, 7, 22, 25, 12, 0, 25, 15, 4, 25, 18, 22], 'y': [0, 0, 0, 0, 0, 0, 0, 13, 17, 17, 0, 22, 16, 10, 21, 23, 18, 13, 23, 24, 25, 25], 'min_makespan': 28, 'max_makespan': 39, 'makespan': 28}","{'paths': 0, 'flatBoolVars': 924, 'flatIntVars': 87, 'flatBoolConstraints': 231, 'flatIntConstraints': 971, 'evaluatedReifiedConstraints': 924, 'flatTime': 0.067204, 'nodes': 31110, 'failures': 28561, 'restarts': 63, 'variables': 7447, 'intVars': 146, 'boolVariables': 7299, 'propagators': 1918, 'propagations': 10356174, 'peakDepth': 29, 'nogoods': 28561, 'backjumps': 1926, 'peakMem': 0.0, 'time': 1.171, 'initTime': 0.013000000000000001, 'solveTime': 1.158, 'objective': 28, 'optTime': 1.156, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",1.26,Chuffed,search
ins-22,"{'width': 29, 'n_circuits': 24, 'widths': [5, 4, 4, 3, 4, 3, 3, 5, 4, 3, 3, 4, 3, 3, 4, 3, 4, 5, 3, 4, 3, 3, 4, 3], 'heights': [17, 20, 18, 20, 15, 18, 15, 8, 9, 11, 10, 7, 9, 8, 6, 7, 5, 4, 6, 4, 5, 4, 3, 3], 'x': [0, 5, 9, 13, 16, 20, 23, 0, 5, 16, 23, 9, 13, 26, 19, 26, 19, 0, 26, 9, 26, 23, 16, 26], 'y': [0, 0, 0, 0, 0, 0, 0, 17, 20, 18, 15, 18, 20, 0, 18, 8, 24, 25, 15, 25, 21, 25, 15, 26], 'min_makespan': 29, 'max_makespan': 41, 'makespan': 29}","{'paths': 0, 'flatBoolVars': 1104, 'flatIntVars': 95, 'flatBoolConstraints': 276, 'flatIntConstraints': 1155, 'evaluatedReifiedConstraints': 1104, 'flatTime': 0.06968429999999999, 'nodes': 21177, 'failures': 19873, 'restarts': 60, 'variables': 8572, 'intVars': 157, 'boolVariables': 8413, 'propagators': 2284, 'propagations': 7599042, 'peakDepth': 29, 'nogoods': 19873, 'backjumps': 461, 'peakMem': 0.0, 'time': 1.105, 'initTime': 0.015, 'solveTime': 1.09, 'objective': 29, 'optTime': 1.09, 'baseMem': 0.0, 'trailMem': 0.04, 'randomSeed': 666, 'nSolutions': 1}",1.2,Chuffed,search
ins-23,"{'width': 30, 'n_circuits': 20, 'widths': [11, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3], 'heights': [30, 25, 19, 16, 14, 13, 9, 11, 8, 10, 9, 8, 6, 7, 6, 4, 5, 4, 3, 3], 'x': [0, 11, 14, 17, 17, 20, 20, 14, 20, 23, 24, 24, 26, 27, 27, 26, 11, 27, 23, 27], 'y': [0, 0, 0, 0, 16, 0, 13, 19, 22, 0, 13, 22, 0, 10, 17, 6, 25, 23, 10, 27], 'min_makespan': 30, 'max_makespan': 36, 'makespan': 30}","{'paths': 0, 'flatBoolVars': 760, 'flatIntVars': 79, 'flatBoolConstraints': 190, 'flatIntConstraints': 803, 'evaluatedReifiedConstraints': 760, 'flatTime': 0.0624283, 'nodes': 27, 'failures': 0, 'restarts': 1, 'variables': 6386, 'intVars': 135, 'boolVariables': 6249, 'propagators': 1584, 'propagations': 7115, 'peakDepth': 26, 'nogoods': 0, 'backjumps': 0, 'peakMem': 0.0, 'time': 0.011, 'initTime': 0.011, 'solveTime': 0.0, 'objective': 30, 'optTime': 0.0, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.09,Chuffed,search
ins-24,"{'width': 31, 'n_circuits': 19, 'widths': [12, 3, 3, 4, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 3, 4, 3], 'heights': [31, 31, 22, 13, 14, 13, 12, 11, 8, 10, 7, 9, 8, 7, 6, 5, 4, 3, 3], 'x': [0, 12, 15, 18, 18, 21, 28, 24, 27, 22, 24, 15, 28, 25, 25, 21, 18, 27, 22], 'y': [0, 0, 0, 0, 13, 13, 0, 20, 20, 0, 13, 22, 12, 0, 7, 26, 27, 28, 10], 'min_makespan': 31, 'max_makespan': 38, 'makespan': 31}","{'paths': 0, 'flatBoolVars': 684, 'flatIntVars': 75, 'flatBoolConstraints': 171, 'flatIntConstraints': 725, 'evaluatedReifiedConstraints': 684, 'flatTime': 0.0577033, 'nodes': 2359, 'failures': 2194, 'restarts': 10, 'variables': 6271, 'intVars': 128, 'boolVariables': 6141, 'propagators': 1429, 'propagations': 722077, 'peakDepth': 19, 'nogoods': 2194, 'backjumps': 59, 'peakMem': 0.0, 'time': 0.092, 'initTime': 0.01, 'solveTime': 0.082, 'objective': 31, 'optTime': 0.082, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",0.17,Chuffed,search
ins-25,"{'width': 32, 'n_circuits': 27, 'widths': [3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3], 'heights': [27, 25, 24, 18, 23, 22, 18, 15, 11, 14, 10, 13, 12, 11, 10, 7, 9, 8, 6, 7, 5, 6, 4, 5, 4, 3, 3], 'x': [0, 3, 6, 9, 13, 16, 19, 22, 9, 19, 22, 26, 25, 29, 16, 22, 13, 6, 28, 3, 28, 29, 28, 0, 26, 9, 25], 'y': [0, 0, 0, 0, 0, 0, 0, 0, 18, 18, 15, 15, 0, 15, 22, 25, 23, 24, 0, 25, 6, 26, 11, 27, 28, 29, 12], 'min_makespan': 32, 'max_makespan': 42, 'makespan': 32}","{'paths': 0, 'flatBoolVars': 1404, 'flatIntVars': 107, 'flatBoolConstraints': 351, 'flatIntConstraints': 1461, 'evaluatedReifiedConstraints': 1404, 'flatTime': 0.0762047, 'nodes': 3714, 'failures': 3378, 'restarts': 14, 'variables': 10213, 'intVars': 181, 'boolVariables': 10030, 'propagators': 2893, 'propagations': 1795158, 'peakDepth': 34, 'nogoods': 3378, 'backjumps': 87, 'peakMem': 0.0, 'time': 0.221, 'initTime': 0.019, 'solveTime': 0.202, 'objective': 32, 'optTime': 0.202, 'baseMem': 0.0, 'trailMem': 0.04, 'randomSeed': 666, 'nSolutions': 1}",0.33,Chuffed,search
ins-26,"{'width': 33, 'n_circuits': 23, 'widths': [7, 3, 3, 3, 4, 4, 3, 4, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3], 'heights': [33, 33, 30, 24, 17, 14, 17, 12, 15, 14, 10, 13, 10, 9, 8, 6, 7, 6, 4, 5, 4, 3, 3], 'x': [0, 7, 10, 13, 16, 20, 24, 16, 27, 27, 20, 30, 24, 13, 30, 20, 30, 24, 16, 30, 27, 20, 10], 'y': [0, 0, 0, 0, 0, 0, 0, 17, 0, 15, 14, 0, 17, 24, 13, 24, 21, 27, 29, 28, 29, 30, 30], 'min_makespan': 33, 'max_makespan': 43, 'makespan': 33}","{'paths': 0, 'flatBoolVars': 1012, 'flatIntVars': 91, 'flatBoolConstraints': 253, 'flatIntConstraints': 1061, 'evaluatedReifiedConstraints': 1012, 'flatTime': 0.0681753, 'nodes': 656653, 'failures': 624659, 'restarts': 1020, 'variables': 8621, 'intVars': 154, 'boolVariables': 8465, 'propagators': 2097, 'propagations': 237322165, 'peakDepth': 29, 'nogoods': 624659, 'backjumps': 19904, 'peakMem': 0.0, 'time': 37.426, 'initTime': 0.015, 'solveTime': 37.411, 'objective': 33, 'optTime': 37.402, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",37.52,Chuffed,search
ins-27,"{'width': 34, 'n_circuits': 21, 'widths': [12, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3], 'heights': [34, 34, 25, 22, 21, 14, 11, 14, 13, 12, 11, 10, 9, 8, 7, 5, 6, 4, 5, 4, 3], 'x': [0, 12, 15, 18, 21, 24, 24, 28, 21, 18, 28, 31, 15, 31, 31, 24, 28, 24, 31, 31, 28], 'y': [0, 0, 0, 0, 0, 0, 14, 0, 21, 22, 14, 0, 25, 10, 18, 25, 25, 30, 25, 30, 31], 'min_makespan': 34, 'max_makespan': 41, 'makespan': 34}","{'paths': 0, 'flatBoolVars': 840, 'flatIntVars': 83, 'flatBoolConstraints': 210, 'flatIntConstraints': 885, 'evaluatedReifiedConstraints': 840, 'flatTime': 0.0652252, 'nodes': 31266, 'failures': 29772, 'restarts': 69, 'variables': 7546, 'intVars': 142, 'boolVariables': 7402, 'propagators': 1747, 'propagations': 9614263, 'peakDepth': 28, 'nogoods': 29772, 'backjumps': 711, 'peakMem': 0.0, 'time': 1.3980000000000001, 'initTime': 0.012, 'solveTime': 1.3860000000000001, 'objective': 34, 'optTime': 1.3860000000000001, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",1.48,Chuffed,search
