data_file,solution,stats,TOTAL_TIME,solver,model
ins-19,"{'width': 26, 'n_circuits': 22, 'widths': [3, 4, 3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 3, 4, 3, 3, 4, 3], 'heights': [19, 14, 17, 16, 15, 11, 14, 12, 11, 8, 10, 7, 9, 8, 7, 5, 6, 4, 5, 4, 3, 3], 'x': [10, 19, 23, 16, 7, 0, 13, 13, 7, 19, 16, 0, 23, 4, 10, 0, 4, 19, 4, 4, 0, 4], 'y': [0, 0, 0, 0, 0, 0, 0, 14, 15, 14, 16, 11, 17, 0, 19, 18, 8, 22, 14, 19, 23, 23], 'min_makespan': 26, 'max_makespan': 37, 'makespan': 26}","{'paths': 0, 'flatBoolVars': 1719, 'flatIntVars': 87, 'flatBoolConstraints': 583, 'flatIntConstraints': 1590, 'evaluatedReifiedConstraints': 1542, 'eliminatedImplications': 84, 'flatTime': 0.11756899999999999, 'nodes': 115866, 'failures': 99639, 'restarts': 12, 'variables': 7890, 'intVars': 147, 'boolVariables': 7741, 'propagators': 3554, 'propagations': 95484387, 'peakDepth': 111, 'nogoods': 99639, 'backjumps': 15132, 'peakMem': 0.0, 'time': 11.386, 'initTime': 0.019, 'solveTime': 11.367, 'objective': 26, 'optTime': 11.352, 'baseMem': 0.0, 'trailMem': 0.04, 'randomSeed': 666, 'nSolutions': 1}",11.54,Chuffed,symmetry
ins-2,"{'width': 9, 'n_circuits': 5, 'widths': [3, 3, 3, 3, 3], 'heights': [9, 6, 5, 4, 3], 'x': [0, 6, 3, 3, 6], 'y': [0, 0, 0, 5, 6], 'min_makespan': 9, 'max_makespan': 9, 'makespan': 9}","{'paths': 0, 'flatBoolVars': 117, 'flatIntVars': 17, 'flatBoolConstraints': 48, 'flatIntConstraints': 108, 'evaluatedReifiedConstraints': 97, 'eliminatedImplications': 16, 'flatTime': 0.0474372, 'nodes': 12, 'failures': 5, 'restarts': 1, 'variables': 481, 'intVars': 41, 'boolVariables': 438, 'propagators': 192, 'propagations': 714, 'peakDepth': 5, 'nogoods': 5, 'backjumps': 1, 'peakMem': 0.0, 'time': 0.001, 'initTime': 0.001, 'solveTime': 0.0, 'objective': 9, 'optTime': 0.0, 'baseMem': 0.0, 'trailMem': 0.0, 'randomSeed': 666, 'nSolutions': 1}",0.06,Chuffed,symmetry
ins-20,"{'width': 27, 'n_circuits': 21, 'widths': [4, 4, 3, 3, 3, 4, 3, 3, 4, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3], 'heights': [20, 19, 21, 20, 19, 14, 12, 11, 8, 10, 7, 9, 8, 6, 7, 6, 4, 5, 4, 3, 3], 'x': [3, 7, 0, 20, 17, 23, 14, 14, 10, 11, 23, 11, 17, 23, 20, 0, 3, 7, 14, 3, 7], 'y': [0, 0, 0, 0, 0, 0, 0, 12, 19, 0, 14, 10, 19, 21, 20, 21, 20, 19, 23, 24, 24], 'min_makespan': 27, 'max_makespan': 33, 'makespan': 27}","{'paths': 0, 'flatBoolVars': 1529, 'flatIntVars': 83, 'flatBoolConstraints': 518, 'flatIntConstraints': 1420, 'evaluatedReifiedConstraints': 1374, 'eliminatedImplications': 80, 'flatTime': 0.108884, 'nodes': 232605, 'failures': 203403, 'restarts': 7, 'variables': 6943, 'intVars': 140, 'boolVariables': 6801, 'propagators': 3155, 'propagations': 130385615, 'peakDepth': 95, 'nogoods': 203403, 'backjumps': 28696, 'peakMem': 0.0, 'time': 18.478, 'initTime': 0.016, 'solveTime': 18.462, 'objective': 27, 'optTime': 18.454, 'baseMem': 0.0, 'trailMem': 0.04, 'randomSeed': 666, 'nSolutions': 1}",18.62,Chuffed,symmetry
ins-21,"{'width': 28, 'n_circuits': 22, 'widths': [4, 3, 5, 3, 4, 3, 3, 5, 3, 4, 3, 5, 3, 3, 3, 4, 3, 4, 3, 3, 4, 3], 'heights': [23, 23, 13, 21, 13, 17, 16, 9, 11, 8, 10, 6, 9, 8, 7, 5, 6, 4, 5, 4, 3, 3], 'x': [11, 18, 6, 21, 24, 15, 0, 6, 15, 24, 3, 3, 0, 3, 21, 11, 8, 24, 18, 3, 24, 0], 'y': [0, 0, 6, 0, 0, 0, 0, 19, 17, 13, 6, 0, 16, 16, 21, 23, 0, 21, 23, 24, 25, 25], 'min_makespan': 28, 'max_makespan': 39, 'makespan': 28}","{'paths': 0, 'flatBoolVars': 1574, 'flatIntVars': 87, 'flatBoolConstraints': 525, 'flatIntConstraints': 1474, 'evaluatedReifiedConstraints': 1426, 'eliminatedImplications': 84, 'flatTime': 0.112927, 'nodes': 60609, 'failures': 48894, 'restarts': 12, 'variables': 8075, 'intVars': 146, 'boolVariables': 7927, 'propagators': 3235, 'propagations': 38727387, 'peakDepth': 119, 'nogoods': 48894, 'backjumps': 10670, 'peakMem': 0.0, 'time': 4.168, 'initTime': 0.018000000000000002, 'solveTime': 4.15, 'objective': 28, 'optTime': 4.143, 'baseMem': 0.0, 'trailMem': 0.04, 'randomSeed': 666, 'nSolutions': 1}",4.31,Chuffed,symmetry
ins-22,"{'width': 29, 'n_circuits': 24, 'widths': [5, 4, 4, 3, 4, 3, 3, 5, 4, 3, 3, 4, 3, 3, 4, 3, 4, 5, 3, 4, 3, 3, 4, 3], 'heights': [17, 20, 18, 20, 15, 18, 15, 8, 9, 11, 10, 7, 9, 8, 6, 7, 5, 4, 6, 4, 5, 4, 3, 3], 'x': [11, 19, 7, 0, 3, 26, 23, 6, 25, 16, 0, 11, 19, 22, 15, 16, 15, 3, 3, 8, 12, 23, 3, 26], 'y': [6, 10, 12, 0, 12, 9, 15, 4, 0, 14, 20, 23, 1, 2, 0, 6, 25, 0, 5, 0, 1, 10, 27, 27], 'min_makespan': 29, 'max_makespan': 41, 'makespan': 30}","{'paths': 0, 'flatBoolVars': 1831, 'flatIntVars': 95, 'flatBoolConstraints': 604, 'flatIntConstraints': 1718, 'evaluatedReifiedConstraints': 1666, 'eliminatedImplications': 92, 'flatTime': 0.12357699999999999, 'nodes': 2226984, 'failures': 1903438, 'restarts': 12, 'variables': 9277, 'intVars': 157, 'boolVariables': 9118, 'propagators': 3760, 'propagations': 1955512283, 'peakDepth': 147, 'nogoods': 1903438, 'backjumps': 322261, 'peakMem': 0.0, 'time': 299.894, 'initTime': 0.021, 'solveTime': 299.873, 'objective': 30, 'optTime': 0.106, 'baseMem': 0.0, 'trailMem': 0.04, 'randomSeed': 666, 'nSolutions': 1}",300.06,Chuffed,symmetry
ins-23,"{'width': 30, 'n_circuits': 20, 'widths': [11, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3], 'heights': [30, 25, 19, 16, 14, 13, 9, 11, 8, 10, 9, 8, 6, 7, 6, 4, 5, 4, 3, 3], 'x': [6, 17, 27, 3, 3, 0, 20, 20, 23, 20, 24, 0, 23, 23, 0, 26, 17, 27, 26, 0], 'y': [0, 0, 0, 0, 16, 0, 0, 9, 9, 20, 0, 13, 17, 23, 21, 23, 25, 19, 27, 27], 'min_makespan': 30, 'max_makespan': 36, 'makespan': 30}","{'paths': 0, 'flatBoolVars': 1408, 'flatIntVars': 79, 'flatBoolConstraints': 480, 'flatIntConstraints': 1306, 'evaluatedReifiedConstraints': 1262, 'eliminatedImplications': 76, 'flatTime': 0.10331599999999999, 'nodes': 33807, 'failures': 27030, 'restarts': 7, 'variables': 7016, 'intVars': 135, 'boolVariables': 6879, 'propagators': 2907, 'propagations': 21203532, 'peakDepth': 95, 'nogoods': 27030, 'backjumps': 6285, 'peakMem': 0.0, 'time': 2.612, 'initTime': 0.016, 'solveTime': 2.596, 'objective': 30, 'optTime': 2.592, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",2.74,Chuffed,symmetry
ins-24,"{'width': 31, 'n_circuits': 19, 'widths': [12, 3, 3, 4, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 3, 4, 3], 'heights': [31, 31, 22, 13, 14, 13, 12, 11, 8, 10, 7, 9, 8, 7, 6, 5, 4, 3, 3], 'x': [0, 12, 22, 15, 25, 19, 15, 28, 18, 25, 18, 28, 28, 25, 15, 22, 22, 18, 28], 'y': [0, 0, 0, 0, 0, 0, 13, 0, 13, 14, 21, 11, 20, 24, 25, 22, 27, 28, 28], 'min_makespan': 31, 'max_makespan': 38, 'makespan': 31}","{'paths': 0, 'flatBoolVars': 1306, 'flatIntVars': 75, 'flatBoolConstraints': 449, 'flatIntConstraints': 1208, 'evaluatedReifiedConstraints': 1166, 'eliminatedImplications': 72, 'flatTime': 0.09827319999999999, 'nodes': 152495, 'failures': 134485, 'restarts': 8, 'variables': 6875, 'intVars': 128, 'boolVariables': 6745, 'propagators': 2700, 'propagations': 113602787, 'peakDepth': 90, 'nogoods': 134485, 'backjumps': 17496, 'peakMem': 0.0, 'time': 14.575, 'initTime': 0.015, 'solveTime': 14.56, 'objective': 31, 'optTime': 14.547, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",14.71,Chuffed,symmetry
ins-25,"{'width': 32, 'n_circuits': 27, 'widths': [3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3], 'heights': [27, 25, 24, 18, 23, 22, 18, 15, 11, 14, 10, 13, 12, 11, 10, 7, 9, 8, 6, 7, 5, 6, 4, 5, 4, 3, 3], 'x': [13, 16, 19, 28, 22, 0, 10, 3, 25, 29, 24, 6, 7, 4, 9, 0, 25, 18, 6, 3, 9, 21, 0, 15, 12, 25, 21], 'y': [0, 0, 0, 15, 0, 11, 0, 11, 0, 1, 23, 20, 0, 0, 23, 0, 14, 25, 12, 26, 18, 24, 7, 28, 29, 11, 30], 'min_makespan': 32, 'max_makespan': 42, 'makespan': 33}","{'paths': 0, 'flatBoolVars': 2599, 'flatIntVars': 107, 'flatBoolConstraints': 871, 'flatIntConstraints': 2396, 'evaluatedReifiedConstraints': 2338, 'eliminatedImplications': 104, 'flatTime': 0.16048, 'nodes': 2629685, 'failures': 2338674, 'restarts': 10, 'variables': 11380, 'intVars': 181, 'boolVariables': 11197, 'propagators': 5383, 'propagations': 2067600313, 'peakDepth': 176, 'nogoods': 2338674, 'backjumps': 289846, 'peakMem': 0.0, 'time': 299.87, 'initTime': 0.034, 'solveTime': 299.836, 'objective': 33, 'optTime': 0.606, 'baseMem': 0.0, 'trailMem': 0.05, 'randomSeed': 666, 'nSolutions': 1}",300.08,Chuffed,symmetry
ins-26,"{'width': 33, 'n_circuits': 23, 'widths': [7, 3, 3, 3, 4, 4, 3, 4, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3], 'heights': [33, 33, 30, 24, 17, 14, 17, 12, 15, 14, 10, 13, 10, 9, 8, 6, 7, 6, 4, 5, 4, 3, 3], 'x': [10, 20, 23, 0, 3, 29, 17, 29, 26, 7, 3, 7, 26, 17, 26, 3, 17, 7, 29, 0, 0, 29, 23], 'y': [0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 17, 14, 15, 17, 25, 27, 26, 27, 26, 24, 29, 30, 30], 'min_makespan': 33, 'max_makespan': 43, 'makespan': 33}","{'paths': 0, 'flatBoolVars': 1813, 'flatIntVars': 91, 'flatBoolConstraints': 609, 'flatIntConstraints': 1684, 'evaluatedReifiedConstraints': 1634, 'eliminatedImplications': 88, 'flatTime': 0.122489, 'nodes': 1441550, 'failures': 1285735, 'restarts': 11, 'variables': 9398, 'intVars': 154, 'boolVariables': 9242, 'propagators': 3741, 'propagations': 845795964, 'peakDepth': 140, 'nogoods': 1285735, 'backjumps': 154777, 'peakMem': 0.0, 'time': 173.255, 'initTime': 0.021, 'solveTime': 173.234, 'objective': 33, 'optTime': 173.217, 'baseMem': 0.0, 'trailMem': 0.04, 'randomSeed': 666, 'nSolutions': 1}",173.42,Chuffed,symmetry
ins-27,"{'width': 34, 'n_circuits': 21, 'widths': [12, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3], 'heights': [34, 34, 25, 22, 21, 14, 11, 14, 13, 12, 11, 10, 9, 8, 7, 5, 6, 4, 5, 4, 3], 'x': [6, 18, 25, 28, 31, 21, 21, 0, 3, 28, 0, 31, 25, 3, 3, 21, 3, 21, 0, 0, 31], 'y': [0, 0, 0, 0, 0, 0, 14, 0, 0, 22, 14, 21, 25, 13, 21, 25, 28, 30, 25, 30, 31], 'min_makespan': 34, 'max_makespan': 41, 'makespan': 34}","{'paths': 0, 'flatBoolVars': 1619, 'flatIntVars': 83, 'flatBoolConstraints': 554, 'flatIntConstraints': 1492, 'evaluatedReifiedConstraints': 1446, 'eliminatedImplications': 80, 'flatTime': 0.111401, 'nodes': 3251110, 'failures': 2907723, 'restarts': 8, 'variables': 8305, 'intVars': 142, 'boolVariables': 8161, 'propagators': 3353, 'propagations': 1606432227, 'peakDepth': 90, 'nogoods': 2907723, 'backjumps': 342786, 'peakMem': 0.0, 'time': 248.286, 'initTime': 0.018000000000000002, 'solveTime': 248.268, 'objective': 34, 'optTime': 248.26, 'baseMem': 0.0, 'trailMem': 0.02, 'randomSeed': 666, 'nSolutions': 1}",248.44,Chuffed,symmetry
ins-28,"{'width': 35, 'n_circuits': 22, 'widths': [14, 4, 4, 4, 3, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3], 'heights': [35, 23, 20, 17, 22, 19, 12, 12, 8, 10, 7, 9, 8, 6, 7, 5, 6, 4, 5, 4, 3, 3], 'x': [3, 21, 28, 17, 32, 0, 17, 0, 28, 32, 25, 25, 21, 17, 29, 24, 25, 21, 25, 0, 24, 32], 'y': [0, 0, 0, 0, 0, 0, 17, 19, 27, 22, 20, 0, 27, 29, 20, 27, 9, 23, 15, 31, 32, 32], 'min_makespan': 35, 'max_makespan': 42, 'makespan': 35}","{'paths': 0, 'flatBoolVars': 1589, 'flatIntVars': 87, 'flatBoolConstraints': 531, 'flatIntConstraints': 1486, 'evaluatedReifiedConstraints': 1438, 'eliminatedImplications': 84, 'flatTime': 0.111464, 'nodes': 24694, 'failures': 20227, 'restarts': 8, 'variables': 8766, 'intVars': 148, 'boolVariables': 8616, 'propagators': 3268, 'propagations': 18828287, 'peakDepth': 126, 'nogoods': 20227, 'backjumps': 3824, 'peakMem': 0.0, 'time': 1.826, 'initTime': 0.019, 'solveTime': 1.807, 'objective': 35, 'optTime': 1.8050000000000002, 'baseMem': 0.0, 'trailMem': 0.04, 'randomSeed': 666, 'nSolutions': 1}",1.97,Chuffed,symmetry
